SOC,S
0.0,-0.0004900114285714
0.1,-0.0001639571428571
0.2,-0.0001176328571428
0.3,-4.44142857142829e-05
0.4,9.750285714286e-05
0.5,0.00011027
0.6,0.0001286514285714
0.7,0.00014535
0.8,9.96285714285719e-05
0.9,8.36442857142826e-05
1.0,0.0001180685714285
