SOC,Temp,T=10.00,T=11.00,T=12.00,T=13.00,T=14.00,T=15.00,T=16.00,T=17.00,T=18.00,T=19.00,T=20.00,T=21.00,T=22.00,T=23.00,T=24.00,T=25.00,T=26.00,T=27.00,T=28.00,T=29.00,T=30.00,T=31.00,T=32.00,T=33.00,T=34.00,T=35.00,T=36.00,T=37.00,T=38.00,T=39.00,T=40.00,T=41.00,T=42.00,T=43.00,T=44.00,T=45.00,T=46.00,T=47.00,T=48.00,T=49.00,T=50.00
0.0,10.0,0.000226677043152,0.0002336674737029,0.0002408734802053,0.0002483017107465,0.0002559590184319,0.0002638524677081,0.0002719893408804,0.0002803771448307,0.0002890236179438,0.0002979367372465,0.0003071247257667,0.00031659606012,0.0003263594783302,0.0003364239878904,0.0003467988740734,0.0003574937084978,0.0003685183579588,0.0003798829935311,0.0003915980999521,0.0004036744852953,0.0004161232909413,0.0004289560018567,0.0004421844571896,0.0004558208611928,0.000469877794482,0.0004843682256436,0.0004993055231984,0.0005147034679353,0.0005305762656251,0.0005469385601266,0.0005638054468964,0.0005811924869156,0.0005991157210463,0.0006175916848301,0.0006366374237437,0.0006562705089246,0.0006765090533816,0.0006973717287056,0.0007188777822955,0.0007410470551156,0.0007639
0.01,11.0,0.0002311636996417,0.0002382924929494,0.0002456411291394,0.0002532163878855,0.000261025257938,0.0002690749435711,0.00027737287123,0.0002859266963817,0.0002947443105781,0.0003038338487365,0.0003132036966445,0.0003228624986971,0.0003328191658709,0.0003430828839461,0.0003536631219801,0.0003645696410445,0.0003758125032296,0.0003874020809276,0.0003993490664023,0.000411664481653,0.0004243596885837,0.0004374463994847,0.0004509366878386,0.0004648429994585,0.0004791781639709,0.0004939554066513,0.0005091883606258,0.0005248910794488,0.0005410780500685,0.0005577642061917,0.0005749649420621,0.0005926961266619,0.0006109741183525,0.0006298157799664,0.0006492384943642,0.0006692601804718,0.0006898993098119,0.0007111749235452,0.0007331066500378,0.0007557147229692,0.00077902
0.02,12.0,0.0002356503561314,0.0002429175121958,0.0002504087780734,0.0002581310650245,0.000266091497444,0.0002742974194341,0.0002827564015797,0.0002914762479328,0.0003004650032124,0.0003097309602264,0.0003192826675224,0.0003291289372742,0.0003392788534117,0.0003497417800017,0.0003605273698869,0.0003716455735913,0.0003831066485004,0.0003949211683241,0.0004071000328524,0.0004196544780108,0.0004325960862261,0.0004459367971128,0.0004596889184875,0.0004738651377243,0.0004884785334598,0.0005035425876589,0.0005190711980531,0.0005350786909624,0.0005515798345118,0.0005685898522568,0.0005861244372278,0.0006041997664081,0.0006228325156587,0.0006420398751027,0.0006618395649847,0.0006822498520191,0.0007032895662422,0.0007249781183849,0.00074733551778,0.0007703823908228,0.00079414
0.03,13.0,0.000240137012621,0.0002475425314423,0.0002551764270074,0.0002630457421635,0.0002711577369501,0.0002795198952971,0.0002881399319294,0.0002970257994838,0.0003061856958466,0.0003156280717163,0.0003253616384003,0.0003353953758512,0.0003457385409524,0.0003564006760573,0.0003673916177937,0.0003787215061381,0.0003904007937711,0.0004024402557206,0.0004148509993026,0.0004276444743685,0.0004408324838685,0.0004544271947408,0.0004684411491364,0.0004828872759901,0.0004977789029487,0.0005131297686665,0.0005289540354805,0.0005452663024759,0.0005620816189551,0.0005794154983219,0.0005972839323935,0.0006157034061544,0.0006346909129649,0.000654263970239,0.0006744406356052,0.0006952395235663,0.0007166798226726,0.0007387813132246,0.0007615643855223,0.0007850500586763,0.00080926
0.04,14.0,0.0002446236691107,0.0002521675506888,0.0002599440759415,0.0002679604193025,0.0002762239764562,0.0002847423711601,0.000293523462279,0.0003025753510348,0.0003119063884809,0.0003215251832063,0.0003314406092781,0.0003416618144283,0.0003521982284931,0.000363059572113,0.0003742558657005,0.0003857974386849,0.0003976949390419,0.0004099593431171,0.0004226019657528,0.0004356344707262,0.0004490688815109,0.0004629175923689,0.0004771933797853,0.0004919094142559,0.0005070792724376,0.0005227169496742,0.0005388368729079,0.0005554539139894,0.0005725834033984,0.000590241144387,0.0006084434275592,0.0006272070459006,0.0006465493102711,0.0006664880653753,0.0006870417062257,0.0007082291951136,0.0007300700791029,0.0007525845080643,0.0007757932532646,0.0007997177265299,0.00082438
0.05,15.0,0.0002491103256004,0.0002567925699353,0.0002647117248755,0.0002728750964415,0.0002812902159623,0.0002899648470231,0.0002989069926287,0.0003081249025859,0.0003176270811151,0.0003274222946962,0.000337519580156,0.0003479282530053,0.0003586579160338,0.0003697184681686,0.0003811201136073,0.0003928733712317,0.0004049890843127,0.0004174784305136,0.0004303529322029,0.0004436244670839,0.0004573052791533,0.000471407989997,0.0004859456104342,0.0005009315525217,0.0005163796419265,0.0005323041306818,0.0005487197103352,0.0005656415255029,0.0005830851878418,0.0006010667904521,0.0006196029227249,0.0006387106856469,0.0006584077075774,0.0006787121605117,0.0006996427768462,0.0007212188666608,0.0007434603355332,0.0007663877029039,0.0007900221210068,0.0008143853943835,0.0008395
0.06,16.0,0.00025359698209,0.0002614175891818,0.0002694793738095,0.0002777897735805,0.0002863564554683,0.0002951873228861,0.0003042905229784,0.0003136744541369,0.0003233477737494,0.0003333194061862,0.0003435985510338,0.0003541946915824,0.0003651176035745,0.0003763773642243,0.0003879843615141,0.0003999493037785,0.0004122832295834,0.0004249975179101,0.0004381038986531,0.0004516144634417,0.0004655416767957,0.000479898387625,0.0004946978410832,0.0005099536907875,0.0005256800114154,0.0005418913116895,0.0005586025477626,0.0005758291370165,0.0005935869722851,0.0006118924365171,0.0006307624178906,0.0006502143253931,0.0006702661048836,0.000690936255648,0.0007122438474668,0.0007342085382081,0.0007568505919635,0.0007801908977436,0.0008042509887491,0.0008290530622371,0.00085462
0.07,17.0,0.0002580836385797,0.0002660426084283,0.0002742470227435,0.0002827044507195,0.0002914226949744,0.0003004097987491,0.000309674053328,0.000319224005688,0.0003290684663837,0.0003392165176761,0.0003496775219117,0.0003604611301595,0.0003715772911153,0.0003830362602799,0.0003948486094208,0.0004070252363252,0.0004195773748542,0.0004325166053066,0.0004458548651032,0.0004596044597994,0.0004737780744381,0.0004883887852531,0.0005034500717321,0.0005189758290533,0.0005349803809043,0.0005514784926971,0.00056848538519,0.00058601674853,0.0006040887567284,0.0006227180825822,0.0006419219130563,0.0006617179651394,0.0006821245021898,0.0007031603507843,0.0007248449180873,0.0007471982097553,0.0007702408483939,0.0007939940925833,0.0008184798564913,0.0008437207300907,0.00086974
0.08,18.0,0.0002625702950694,0.0002706676276747,0.0002790146716776,0.0002876191278585,0.0002964889344805,0.0003056322746122,0.0003150575836777,0.000324773557239,0.0003347891590179,0.0003451136291661,0.0003557564927895,0.0003667275687365,0.000378036978656,0.0003896951563355,0.0004017128573276,0.000414101168872,0.0004268715201249,0.0004400356927032,0.0004536058315534,0.0004675944561571,0.0004820144720806,0.0004968791828811,0.000512202302381,0.0005279979673191,0.0005442807503932,0.0005610656737047,0.0005783682226173,0.0005962043600435,0.0006145905411717,0.0006335437286473,0.000653081408222,0.0006732216048857,0.000693982899496,0.0007153844459206,0.0007374459887078,0.0007601878813025,0.0007836311048242,0.000807797287423,0.0008327087242336,0.0008583883979442,0.00088486
0.09,19.0,0.0002670569515591,0.0002752926469212,0.0002837823206116,0.0002925338049975,0.0003015551739866,0.0003108547504752,0.0003204411140274,0.00033032310879,0.0003405098516522,0.000351010740656,0.0003618354636674,0.0003729940073136,0.0003844966661967,0.0003963540523912,0.0004085771052344,0.0004211771014188,0.0004341656653957,0.0004475547800997,0.0004613567980036,0.0004755844525148,0.000490250869723,0.0005053695805092,0.0005209545330299,0.0005370201055848,0.0005535811198821,0.0005706528547124,0.0005882510600447,0.000606391971557,0.000625092325615,0.0006443693747124,0.0006642409033877,0.0006847252446319,0.0007058412968022,0.0007276085410569,0.0007500470593283,0.0007731775528498,0.0007970213612545,0.0008216004822627,0.0008469375919758,0.0008730560657978,0.00089998
