DOD,f_capacity_cyc
0.287,0.001061973
0.288,0.001063352
0.289,0.001064731
0.29,0.00106611
0.291,0.001067489
0.292,0.001068868
0.293,0.0010702469999999
0.294,0.001071626
0.295,0.001073005
0.296,0.0010743839999999
0.297,0.001075763
0.298,0.001077142
0.299,0.001078521
0.3,0.0010799
0.301,0.0010812789999999
0.302,0.001082658
0.303,0.001084037
0.304,0.001085416
0.305,0.001086795
0.306,0.001088174
0.307,0.001089553
0.308,0.001090932
0.309,0.001092311
0.31,0.00109369
0.311,0.001095069
0.312,0.001096448
0.313,0.001097827
0.314,0.001099206
0.315,0.001100585
0.316,0.001101964
0.317,0.001103343
0.318,0.001104722
0.319,0.001106101
0.32,0.00110748
0.321,0.001108859
0.322,0.001110238
0.3229999999999999,0.001111617
0.324,0.001112996
0.325,0.001114375
0.326,0.0011157539999999
0.327,0.001117133
0.3279999999999999,0.001118512
0.3289999999999999,0.001119891
0.33,0.00112127
0.331,0.0011226489999999
0.332,0.001124028
0.3329999999999999,0.001125407
0.3339999999999999,0.001126786
0.335,0.001128165
0.336,0.001129544
0.337,0.001130923
0.3379999999999999,0.001132302
0.3389999999999999,0.001133681
0.34,0.00113506
0.341,0.001136439
0.342,0.001137818
0.3429999999999999,0.001139197
0.344,0.001140576
0.345,0.001141955
0.346,0.001143334
0.347,0.001144713
0.348,0.001146092
0.349,0.001147471
0.35,0.00114885
0.351,0.001150229
0.352,0.001151608
0.353,0.001152987
0.354,0.001154366
0.355,0.001155745
0.356,0.001157124
0.357,0.001158503
0.358,0.0011598819999999
0.359,0.001161261
0.36,0.00116264
0.361,0.0011640189999999
0.362,0.001165398
0.363,0.001166777
0.364,0.001168156
0.365,0.001169535
0.366,0.001170914
0.367,0.001172293
0.368,0.001173672
0.369,0.001175051
0.37,0.00117643
0.371,0.001177809
0.372,0.001179188
0.373,0.001180567
0.374,0.001181946
0.375,0.001183325
0.376,0.001184704
0.377,0.001186083
0.3779999999999999,0.001187462
0.379,0.001188841
0.38,0.00119022
0.381,0.001191599
0.382,0.001192978
0.3829999999999999,0.001194357
0.384,0.001195736
0.385,0.001197115
0.386,0.001198494
0.387,0.001199873
0.3879999999999999,0.0012012519999999
0.389,0.001202631
0.39,0.00120401
0.391,0.0012053889999999
0.392,0.001206768
0.3929999999999999,0.001208147
0.3939999999999999,0.001209526
0.395,0.001210905
0.396,0.0012122839999999
0.397,0.001213663
